prxy,3999.99088126,11228.4881656
Financial,5218.00414449,11392.8698483
WebSearch,7682.68420132,11549.737923
cello,8779.15123354,11585.5470428
hm,8885.6607601,11588.4031922
postmark,9084.90973503,11593.5016712
usr,10132.2753876,11615.8563698
wdev,10910.591774,11628.6597148
src,10911.3238697,11628.6705282
proj,10933.6367103,11628.9990868
ts,11032.8916646,11630.4371979
stg,11084.1416625,11631.1650669
web,11166.6513572,11632.3163972
prn,11175.6731071,11632.4407755
rsrch,11187.9872177,11632.6100687
mds,11223.1615463,11633.0906399
mail,11364.8979523,11634.9829599
webvm,11609.548156,11638.0900867
homes,11632.3133875,11638.369396

