retention_in_hour,count
0, 7564
1, 1922
2, 42977
3, 2995
4, 326
5, 449
6, 6672
7, 4632
8, 638
9, 159
10, 67
11, 41
12, 224
13, 158
14, 717
15, 1096
16, 1791
17, 5982
18, 3226
19, 181
20, 537
21, 4092
22, 6378
23, 2280
24, 12245
25, 13
26, 35044
27, 4482
28, 466
29, 7
30, 131
31, 6
32, 391
33, 36
34, 4
35, 2
36, 1
37, 23
38, 1
39, 1
40, 2
41, 1
42, 6
43, 1
44, 3
45, 9
46, 12
47, 19
48, 11441
49, 38
50, 27
51, 1
52, 3
53, 1
54, 2
55, 3
56, 2
57, 5
60, 2
62, 1
64, 6
65, 9
66, 22
69, 3
70, 6
71, 8
72, 449
73, 2
74, 27799
75, 4
76, 25
77, 10
79, 3
81, 3
82, 1
88, 14
89, 27
90, 20
91, 11264
92, 16510
94, 8
95, 611
96, 40
97, 5
98, 27764
99, 32
100, 5
101, 6
102, 7
103, 2
105, 5
107, 2
108, 1
109, 3
112, 6
113, 4
115, 7
116, 4
119, 8
120, 15
121, 20860
122, 218680
123, 1375226
124, 9034288
125, 7914054
126, 1923950
127, 25372
128, 18782
129, 6
132, 89743
133, 3764
134, 1694
135, 3374
136, 10434
137, 2671
138, 93670
139, 1283
142, 5
144, 3
145, 3
146, 27334
148, 8
149, 1
150, 1
161, 7
162, 10585
164, 22
165, 110
166, 5
167, 25
