retention_in_day,read_interval_in_day,count
0,0,186319
1,0,22
1,1,8
2,0,73937
2,1,4248
2,2,67418
3,0,51850
3,1,22068
3,2,20381
3,3,10858264
4,0,6038
4,1,33784
4,2,0
4,3,0
4,4,1
5,0,10751
5,1,1
5,2,147407
5,3,0
5,4,0
5,5,1
6,0,5247
6,1,17
6,2,0
6,3,2
6,4,0
6,5,0
6,6,12225
